用户名,类型,起始时间,结束时间,合计天数,审核状态
兀霖,忘打卡,2018/04/13 08:30,,,审批已通过
兀霖,因公外出,2018/04/13 09:00,2018/04/13 15:00,0天 5小时 0分钟,审批未通过
兀霖,病假,2018/01/01 08:30,2018/01/01 12:30,0天 4小时 0分钟,审批未通过
兀霖,事假,2018/01/02 14:30,2018/01/02 15:00,0天 0小时 30分钟,审批已通过
兀霖,年假,2018/01/03 08:30,2018/01/03 13:30,0天 4小时 0分钟,审批已通过
兀霖,年假,2018/01/04 08:30,2018/01/07 17:30,4天 0小时 0分钟,审批未通过
兀霖,婚假,2018/01/08 08:30,2018/01/11 17:30,4天 0小时 0分钟,审批已通过
兀霖,婚假,2018/04/01 08:30,2018/04/06 17:30,6天 0小时 0分钟,审批未通过
兀霖,产假,2017/05/01 08:30,2017/09/05 17:30,128天 0小时 0分钟,审批未通过
兀霖,调休,2018/04/01 08:30,2018/04/01 17:30,1天 0小时 0分钟,审批已通过
兀霖,产检假,2018/04/02 12:30,2018/04/02 17:30,0天 4小时 0分钟,审批已通过
兀霖,丧假,2018/03/04 08:30,2018/03/06 17:30,3天 0小时 0分钟,审批已通过
兀霖,陪产假,2018/02/15 08:30,2018/03/01 17:30,15天 0小时 0分钟,审批已通过
