用户名,类型,起始时间,结束时间,合计天数,审核状态
兀霖,忘打卡,2018/04/01 17:30,,,审批已通过
兀霖,病假,2018/01/01 08:30,2018/01/02 12:30,1天 4小时 0分钟,审批未通过
兀霖,事假,2018/01/03 13:30,2018/01/03 15:00,0天 1小时 30分钟,审批已通过
兀霖,年假,2018/01/05 08:30,2018/01/05 13:30,0天 4小时 0分钟,审批未通过
兀霖,调休,2018/01/06 09:30,2018/01/06 14:30,0天 4小时 0分钟,审批未通过
兀霖,产假,2018/05/01 08:30,2018/09/05 17:30,128天 0小时 0分钟,审批已通过
兀霖,婚假,2018/02/01 08:30,2018/02/07 17:30,7天 0小时 0分钟,审批已通过
兀霖,婚假,2018/04/19 08:30,2018/04/21 17:30,3天 0小时 0分钟,审批未通过
兀霖,产检假,2018/04/10 08:30,2018/04/10 17:30,1天 0小时 0分钟,审批已通过
兀霖,丧假,2018/04/24 13:30,2018/04/27 12:30,3天 0小时 0分钟,审批已通过
兀霖,陪产假,2018/03/01 08:30,2018/03/15 17:30,15天 0小时 0分钟,审批已通过
